197 3
55 56 58 
0 255 255 
255 255 127 
255 132 135 
255 8 0 
255 91 89 
255 24 0 
227 228 81 
255 255 255 
255 40 0 
184 232 255 
255 56 0 
255 131 81 
255 72 0 
255 80 0 
255 88 0 
255 96 0 
255 104 0 
255 112 0 
255 74 199 
255 128 0 
255 136 0 
255 144 0 
255 152 0 
79 255 252 
255 168 0 
255 176 0 
255 184 0 
255 192 0 
255 200 0 
255 208 0 
255 216 0 
255 224 0 
255 232 0 
255 94 91 
255 248 0 
86 255 92 
245 255 0 
237 255 0 
229 255 0 
255 255 0 
213 255 0 
255 94 213 
197 255 0 
189 255 0 
181 255 0 
173 255 0 
165 255 0 
157 255 0 
255 255 255 
141 255 0 
133 255 0 
125 255 0 
117 255 0 
109 255 0 
101 255 0 
93 255 0 
85 255 0 
77 255 0 
69 255 0 
61 255 0 
146 194 64 
255 29 117 
37 255 0 
29 255 0 
21 255 0 
13 255 0 
5 255 0 
0 255 2 
0 255 10 
0 255 18 
0 255 26 
0 255 34 
0 255 42 
0 255 50 
0 255 58 
0 255 66 
0 255 74 
0 255 82 
0 255 90 
0 255 98 
255 88 16 
0 255 114 
0 255 122 
0 255 130 
0 255 138 
0 255 146 
0 255 154 
255 96 96 
0 255 170 
0 255 178 
0 255 186 
0 255 194 
0 255 202 
0 255 210 
0 255 218 
0 255 226 
0 255 234 
0 255 242 
0 255 250 
151 255 97 
0 242 255 
0 234 255 
0 226 255 
0 218 255 
255 176 31 
0 202 255 
0 194 255 
0 186 255 
66 187 191 
0 170 255 
0 162 255 
250 255 37 
0 146 255 
255 143 86 
0 130 255 
0 122 255 
0 114 255 
25 255 113 
252 82 255 
169 161 169 
65 192 197 
53 159 167 
0 66 255 
0 58 255 
0 50 255 
0 42 255 
0 34 255 
255 103 23 
147 255 94 
145 255 89 
62 136 177 
72 162 206 
13 0 255 
255 247 38 
137 255 83 
255 171 137 
255 254 36 
196 98 60 
61 0 255 
69 0 255 
220 119 223 
255 93 24 
93 0 255 
101 0 255 
109 0 255 
117 0 255 
125 0 255 
133 0 255 
255 255 0 
72 109 130 
157 0 255 
165 0 255 
173 0 255 
181 0 255 
189 0 255 
197 0 255 
200 106 201 
214 130 255 
245 255 33 
229 0 255 
150 181 206 
245 0 255 
253 0 255 
194 159 145 
255 0 240 
142 255 93 
255 0 224 
255 0 216 
255 131 213 
255 71 78 
255 0 192 
255 0 184 
255 0 176 
255 90 29 
253 135 255 
255 96 94 
255 0 144 
118 255 31 
130 68 68 
255 138 88 
110 167 196 
181 255 34 
255 89 94 
255 255 0 
255 0 80 
255 0 72 
137 255 137 
216 86 29 
255 0 48 
255 132 139 
255 255 0 
255 147 152 
90 255 88 
255 194 251 
255 255 255 
255 29 117 
