64 3
30 0 0 
49 26 26 
63 37 37 
75 45 45 
85 52 52 
94 58 58 
102 64 64 
109 69 69 
116 74 74 
123 78 78 
129 82 82 
135 87 87 
141 90 90 
146 94 94 
152 98 98 
157 101 101 
162 104 104 
167 108 108 
171 111 111 
176 114 114 
180 117 117 
185 120 120 
189 123 123 
193 125 125 
195 131 128 
197 137 131 
198 143 133 
200 148 136 
202 154 138 
204 159 141 
205 164 143 
207 168 146 
209 173 148 
210 178 150 
212 182 152 
213 186 155 
215 191 157 
217 195 159 
218 199 161 
220 203 163 
221 207 165 
223 210 167 
224 214 170 
226 218 172 
227 221 174 
229 225 175 
230 228 177 
232 232 179 
233 233 185 
235 235 190 
236 236 196 
238 238 201 
239 239 206 
241 241 211 
242 242 215 
243 243 220 
245 245 225 
246 246 229 
248 248 234 
249 249 238 
250 250 242 
252 252 246 
253 253 250 
255 255 255 
