64 3
85 85 0 
85 170 0 
85 255 0 
170 85 0 
170 170 0 
170 255 0 
255 85 0 
255 170 0 
255 255 0 
0 85 127 
0 170 127 
0 255 127 
85 0 127 
85 85 127 
85 170 127 
85 255 127 
170 0 127 
170 85 127 
170 170 127 
170 255 127 
255 0 127 
255 85 127 
255 170 127 
255 255 127 
0 85 255 
0 170 255 
0 255 255 
85 0 255 
85 85 255 
85 170 255 
85 255 255 
170 0 255 
170 85 255 
170 170 255 
170 255 255 
255 0 255 
255 85 255 
255 170 255 
42 0 0 
85 0 0 
127 0 0 
170 0 0 
212 0 0 
255 0 0 
0 42 0 
0 85 0 
0 127 0 
0 170 0 
0 212 0 
0 255 0 
0 0 42 
0 0 85 
0 0 127 
0 0 170 
0 0 212 
0 0 255 
0 0 0 
36 36 36 
72 72 72 
109 109 109 
145 145 145 
182 182 182 
218 218 218 
255 255 255 
